Id,Time,Lat,Lng,Temperature,Humidity,Pm2.5,Pm10,Pm1,Co2,Co,Hcho,Tvoc
74DA388FF454,2018-07-13 11:02:55,25.038,25.038,32.62,63,3,0,0,0,0,0,0
74DA388FF47A,2018-07-13 11:01:52,25.090250,25.090250,30.37,100,2,0,0,0,0,0,0
74DA388FF480,2018-07-13 11:04:22,25.034218,25.034218,31,68,4,0,0,0,0,0,0
74DA388FF484,2018-07-13 11:00:34,25.085905,25.085905,30.75,100,0,0,0,0,0,0,0
74DA388FF486,2018-07-13 11:00:35,25.087509,25.087509,33.5,88,4,0,0,0,0,0,0
74DA388FF488,2018-07-13 11:01:36,25.089211,25.089211,31.37,66,4,0,0,0,0,0,0
74DA388FF492,2018-07-13 11:05:24,25.021049,25.021049,32.12,100,3,0,0,0,0,0,0
74DA388FF498,2018-07-13 11:00:21,25.0180,25.0180,30.75,65,1,0,0,0,0,0,0
74DA388FF49C,2018-07-13 11:00:22,25.054,25.054,32.87,83,12,0,0,0,0,0,0
74DA388FF49E,2018-07-13 11:05:40,25.0190,25.0190,30,67,0,0,0,0,0,0,0
74DA388FF4A6,2018-07-13 11:03:54,25.065,25.065,31.37,79,3,3,2,0,0,0,0
74DA388FF4AC,2018-07-13 11:02:43,25.062471,25.062471,30.12,69,3,0,0,0,0,0,0
74DA388FF4B2,2018-07-13 11:05:10,25.052,25.052,30.37,93,2,0,0,0,0,0,0
74DA388FF4B8,2018-07-13 11:03:46,25.070183,25.070183,32.25,59,2,0,0,0,0,0,0
74DA388FF4BE,2018-07-13 11:04:41,25.071257,25.071257,31,70,3,0,0,0,0,0,0
74DA388FF4C2,2018-07-13 11:04:58,25.149920,25.149920,24.75,79,4,0,0,0,0,0,0
74DA388FF4D6,2018-07-13 11:02:20,25.057737,25.057737,32,80,2,0,0,0,0,0,0
74DA388FF4E0,2018-07-13 11:05:10,25.050999,25.050999,31.5,100,4,0,0,0,0,0,0
74DA388FF4E2,2018-07-13 11:02:54,25.083,25.083,31,66,2,3,2,0,0,0,0
74DA388FF4E4,2018-07-13 11:04:41,25.045313,25.045313,33.62,70,2,0,0,0,0,0,0
74DA388FF4E8,2018-07-13 11:03:19,25.099,25.099,31.75,69,2,2,1,0,0,0,0
74DA388FF4EA,2018-07-13 11:05:19,25.025244,25.025244,31.75,100,2,0,0,0,0,0,0
74DA388FF4EC,2018-07-13 11:05:15,25.054125,25.054125,31.75,82,3,0,0,0,0,0,0
74DA388FF4F0,2018-07-13 11:02:48,25.051332,25.051332,31,66,3,0,0,0,0,0,0
74DA388FF4F6,2018-07-13 11:04:47,25.017881,25.017881,31.87,100,3,0,0,0,0,0,0
74DA388FF4F8,2018-07-13 11:04:38,22.9840,22.9840,30,85,11,0,0,0,0,0,0
74DA388FF4FA,2018-07-13 11:00:12,25.030947,25.030947,31.75,81,3,0,0,0,0,0,0
74DA388FF4FC,2018-07-13 11:05:00,25.080576,25.080576,29.5,100,3,0,0,0,0,0,0
74DA388FF4FE,2018-07-13 11:04:30,25.132429,25.132429,30.75,100,0,0,0,0,0,0,0
74DA388FF504,2018-07-13 11:00:30,25.065853,25.065853,32.12,63,1,0,0,0,0,0,0
74DA388FF506,2018-07-13 11:03:45,25.16,25.16,32.25,100,1,2,1,0,0,0,0
74DA388FF508,2018-07-13 11:05:23,25.035,25.035,31.37,91,3,0,0,0,0,0,0
74DA388FF50A,2018-07-13 11:02:14,24.956007,24.956007,31.62,65,6,7,5,0,0,0,0
74DA388FF50C,2018-07-13 11:02:40,25.045612,25.045612,30.87,65,3,0,0,0,0,0,0
74DA388FF50E,2018-07-13 11:04:31,24.989817,24.989817,31.25,97,5,0,0,0,0,0,0
74DA388FF510,2018-07-13 11:01:10,24.982298,24.982298,30,85,4,0,0,0,0,0,0
74DA388FF51E,2018-07-13 11:02:34,24.956230,24.956230,33.12,86,3,0,0,0,0,0,0
74DA388FF530,2018-07-13 11:05:29,24.962523,24.962523,30.87,100,4,0,0,0,0,0,0
74DA388FF538,2018-07-13 11:04:36,25.076509,25.076509,30.37,100,2,0,0,0,0,0,0
74DA388FF53C,2018-07-13 11:06:28,24.986801,24.986801,31,71,2,0,0,0,0,0,0
74DA388FF548,2018-07-13 11:04:04,24.986279,24.986279,31.37,69,3,0,0,0,0,0,0
74DA388FF554,2018-07-13 11:03:34,25.009518,25.009518,30.5,71,2,0,0,0,0,0,0
74DA388FF556,2018-07-13 11:02:32,25.224,25.224,31.5,100,0,0,0,0,0,0,0
74DA388FF56C,2018-07-13 11:05:27,24.996773,24.996773,31.62,80,4,4,3,0,0,0,0
74DA388FF56E,2018-07-13 11:05:17,25.024794,25.024794,31.25,96,5,0,0,0,0,0,0
74DA388FF570,2018-07-13 11:00:35,25.033813,25.033813,28.25,100,0,0,0,0,0,0,0
74DA388FF576,2018-07-13 11:05:19,25.016550,25.016550,30.37,100,0,0,0,0,0,0,0
74DA388FF57C,2018-07-13 11:03:19,25.089403,25.089403,32.37,100,0,0,0,0,0,0,0
74DA388FF584,2018-07-13 11:00:13,25.075804,25.075804,30.87,100,3,0,0,0,0,0,0
74DA388FF58E,2018-07-13 11:04:59,25.074430,25.074430,30.87,100,5,0,0,0,0,0,0
74DA388FF592,2018-07-13 11:01:26,25.168398,25.168398,27.25,100,0,0,0,0,0,0,0
74DA388FF594,2018-07-13 11:02:13,25.047642,25.047642,31.75,82,0,0,0,0,0,0,0
74DA388FF598,2018-07-13 11:00:09,24.971813,24.971813,31.62,83,1,0,0,0,0,0,0
74DA388FF5A6,2018-07-13 11:05:35,25.181505,25.181505,30.87,78,1,0,0,0,0,0,0
74DA388FF5A8,2018-07-13 11:04:41,25.185839,25.185839,29.37,100,5,5,0,0,0,0,0
74DA388FF5AC,2018-07-13 11:01:08,25.173243,25.173243,30.5,83,1,0,0,0,0,0,0
74DA388FF5AE,2018-07-13 11:03:36,25.010700,25.010700,25.12,50,2,0,0,0,0,0,0
74DA388FF5BA,2018-07-13 11:04:18,25.217499,25.217499,31,100,0,0,0,0,0,0,0
74DA388FF5BE,2018-07-13 11:05:43,25.173525,25.173525,30.87,100,0,0,0,0,0,0,0
74DA388FF5C6,2018-07-13 11:05:48,25.042709,25.042709,27.75,82,2,0,0,0,0,0,0
74DA388FF5C8,2018-07-13 11:01:37,24.954300,24.954300,30.62,94,2,0,0,0,0,0,0
74DA388FF5CA,2018-07-13 11:01:40,25.015455,25.015455,30,100,3,0,0,0,0,0,0
74DA388FF5CE,2018-07-13 11:03:32,25.007877,25.007877,31,80,1,0,0,0,0,0,0
74DA388FF5D4,2018-07-13 11:04:09,24.011,24.011,29.87,100,1,2,1,0,0,0,0
